,name,ID,HAIR
1449,Michele Gonzales (Earth-616),Public Identity,Black Hair
1450,Darla Deering (Earth-616),Public Identity,Pink Hair
1451,Jia Jing (Earth-616),Public Identity,Black Hair
1452,Trevor Hawkins (Earth-616),Public Identity,Blond Hair
1453,Anna Maria Marconi (Earth-616),No Dual Identity,Black Hair
1454,Leonard McKenzie (Earth-616),No Dual Identity,Black Hair
1455,Claire Voyant (Earth-616),Secret Identity,Blond Hair
1456,Heinz Kruger (Earth-616),No Dual Identity,Black Hair
1457,Suwan (Earth-616),Secret Identity,Black Hair
1458,Jerold Morgan (Earth-616),No Dual Identity,Brown Hair
1459,Laura Brown (SHIELD) (Earth-616),,Blond Hair
1460,Harokin (Earth-616),,Blond Hair
1461,Kaluu (Earth-616),No Dual Identity,Black Hair
1462,Sidney Levine (Earth-616),Secret Identity,Grey Hair
1463,Stallior (Earth-616),Public Identity,
1464,Hyperion (Squadron Sinister) (Earth-616),Secret Identity,Red Hair
1465,Taj Nital (Earth-616),No Dual Identity,Black Hair
1466,Robert Frank Jr. (Earth-616),Secret Identity,Bald
1467,Joseph Manfredi (Earth-616),Secret Identity,Black Hair
1468,Gena Landers (Earth-616),,
1469,Joshua Stragg (Earth-616),Public Identity,
1470,Charles Chandler (Earth-616),Secret Identity,
1471,Fritz von Meyer (Earth-616),Secret Identity,No Hair
1472,Peter Quinn (Earth-616),Secret Identity,Bald
1473,Elysius (Earth-616),Secret Identity,Black Hair
1474,Shaitan (Earth-616),Public Identity,
1475,"Han, Chang, Lin, Sun, and Ho Tao-Yu (Earth-616)",Secret Identity,Black Hair
1476,Nga Coy Manh (Earth-616),Secret Identity,Black Hair
1477,Harry Osgood (Earth-616),Public Identity,Grey Hair
1478,Arthur Chekov (Earth-616),No Dual Identity,White Hair
1479,Rose Palermo (Earth-616),Public Identity,Brown Hair
1480,Katherine Waynesboro (Earth-616),Secret Identity,Black Hair
1481,Black Fox (Thief) (Earth-616),Secret Identity,White Hair
1482,Sheoke Sanada (Earth-616),Secret Identity,Black Hair
1483,Terminus (Destroyer) (Earth-616),Secret Identity,
1484,Martin Fletcher (Earth-616),Secret Identity,White Hair
1485,Bloodscream (Earth-616),Secret Identity,White Hair
1486,Andrea Sterman (Earth-616),No Dual Identity,Blond Hair
1487,Achilles (Helmut) (Earth-616),Secret Identity,Blond Hair
1488,Jeremy Stevens (Earth-616),Secret Identity,Brown Hair
1489,Misha Bushida (Earth-616),Secret Identity,Black Hair
1490,Stacy Arnheim (Earth-616),Secret Identity,Black Hair
1491,Garabed Bashur (Earth-616),Secret Identity,Black Hair
1492,Suvik Senyaka (Earth-616),Secret Identity,
1493,Desiree Winthrop (Earth-616),Public Identity,Blond Hair
1494,Arlette Truffaut (Earth-616),Secret Identity,Black Hair
1495,Carter Ghazikhanian (Earth-616),Public Identity,Brown Hair
1496,Vincent Stewart (Earth-616),Secret Identity,Blond Hair
1497,Adriana Soria (Earth-616),Secret Identity,Black Hair
1498,Augustus Pugliese (Earth-616),Public Identity,Black Hair
1499,Toxin (Symbiote) (Earth-616),,No Hair
1500,Maya Hansen (Earth-616),No Dual Identity,Brown Hair
1501,Axeman Bone (Earth-616),No Dual Identity,Bald
1502,Yuri Watanabe (Earth-616),Secret Identity,Black Hair
1503,Ikol (Earth-616),Secret Identity,
1504,Kenji Uedo (Earth-616),Public Identity,Bald
1505,Elizabeth Barstow (Earth-616),Secret Identity,White Hair
1506,Lorna (Earth-616),Public Identity,Blond Hair
1507,Mikki (Earth-616),Public Identity,
1508,Dorrek VII (Earth-616),Public Identity,Bald
1509,Frederick Duncan (Earth-616),No Dual Identity,Brown Hair
1510,Thomas Gideon (Earth-616),,Orange Hair
1511,Jormungand (Earth-616),,No Hair
1512,Roy Stone (Earth-616),Public Identity,
1513,Una (Earth-616),Public Identity,Brown Hair
1514,Timberius (Earth-616),No Dual Identity,No Hair
1515,William Drake (Earth-616),Public Identity,Brown Hair
1516,Yandroth (Earth-616),Public Identity,Bald
1517,Michael Marko (Earth-616),Public Identity,Brown Hair
1518,Cornelius van Lunt (Earth-616),Public Identity,Black Hair
1519,Shuma-Gorath (Multiverse),Secret Identity,No Hair
1520,Curtis Carr (Earth-616),Secret Identity,Black Hair
1521,Gabriel (Devil-Hunter) (Earth-616),Public Identity,Brown Hair
1522,Condor (Nova Foe) (Earth-616),Secret Identity,Bald
1523,Griffin Gogol (Earth-616),Secret Identity,Brown Hair
1524,Rieg Davan (Earth-616),Secret Identity,Brown Hair
1525,Nicholas Fury (LMD) (Earth-616),Secret Identity,Brown Hair
1526,Ereshkigal (Deviant) (Earth-616),Secret Identity,Black Hair
1527,Joshua Cooper (Earth-616),Public Identity,Black Hair
1528,Alan Fagan (Earth-616),Secret Identity,Silver Hair
1529,Deathurge (Earth-616),Secret Identity,
1530,Devil (Earth-616),Public Identity,Red Hair
1531,Lorina Dodson (Earth-616),Secret Identity,Strawberry Blond Hair
1532,Phastos (Earth-616),Secret Identity,Bald
1533,Abigail Wright (Earth-616),Secret Identity,Pink Hair
1534,Aaron Chord (Earth-616),Secret Identity,Black Hair
1535,Arthur Dolan (Earth-616),No Dual Identity,Brown Hair
1536,Daniel Fielstein (Earth-616),Public Identity,Black Hair
1537,Ajax (Pantheon) (Earth-616),Secret Identity,Brown Hair
1538,Gauntlet (Dark Riders) (Earth-616),,
1539,Paibok (Earth-616),Secret Identity,No Hair
1540,Sublime (Earth-616),Secret Identity,Black Hair
1541,Rosalie Carbone (Earth-616),,
1542,Harlan Kleinstock (Earth-616),Secret Identity,Brown Hair
1543,Jillian Woods (Earth-616),Secret Identity,Black Hair
1544,Sven Kleinstock (Earth-616),Secret Identity,Brown Hair
1545,Clarice Ferguson (Earth-616),Secret Identity,Magenta Hair
1546,Andrea Roarke (Earth-616),Secret Identity,Blond Hair
1547,Cleavon Twain (Earth-616),Secret Identity,Brown Hair
1548,Giacomo Fortunato (Earth-616),Public Identity,Black Hair
1549,Pierre Fresson (Earth-616),Secret Identity,Blond Hair
1550,Conrad Josten (Earth-616),Secret Identity,Brown Hair
1551,Adrienne Frost (Earth-616),Public Identity,Blond Hair
1552,Trey Rollins (Earth-616),Secret Identity,Brown Hair
1553,Mister X (Earth-616),Secret Identity,Blond Hair
1554,Spike (Freeman) (Earth-616),Secret Identity,Brown Hair
1555,Kevin Cole (Earth-616),Secret Identity,Black Hair
1556,Janet Stein (Earth-616),Secret Identity,Brown Hair
1557,Leslie Dean (Earth-616),Secret Identity,Blond Hair
1558,Kelsey Leigh (Earth-616),Secret Identity,Blond Hair
1559,Overdrive (Earth-616),Secret Identity,Black Hair
1560,Carson Wyche (Earth-616),Public Identity,Brown Hair
1561,Cul Borson (Earth-616),Secret Identity,White Hair
1562,Kade Kilgore (Earth-616),Public Identity,Black Hair
1563,H.E.L.E.N. (Earth-616),No Dual Identity,
1564,Hrimhari (Earth-616),Secret Identity,Grey Hair
1565,David Bond (Earth-616),Secret Identity,Black Hair
1566,Jack Casey (Earth-616),No Dual Identity,Brown Hair
1567,Dave Carson (Earth-616),Public Identity,Red Hair
1568,Whitney Hammond (Earth-616),No Dual Identity,Brown Hair
1569,Greg Knight (Earth-616),No Dual Identity,Brown Hair
1570,Janice Cord (Earth-616),No Dual Identity,Blond Hair
1571,Lani Ubanu (Earth-616),Secret Identity,Blond Hair
1572,Richard Nixon (Earth-616),No Dual Identity,
1573,Roderick Krupp (Earth-616),Secret Identity,Brown Hair
1574,Garokk (Earth-616),,
1575,Set (Earth-616),Public Identity,No Hair
1576,Kondrati Topolov (Earth-616),Secret Identity,Bald
1577,Robert Takiguchi (Earth-616),No Dual Identity,Black Hair
1578,Magnus (Sorcerer) (Earth-616),,Brown Hair
1579,Dansen Macabre (Earth-616),Secret Identity,Silver Hair
1580,Pharoid (Earth-616),,
1581,Jason Strongbow (Earth-616),Secret Identity,Black Hair
1582,Lancelot Steele (Earth-616),Public Identity,
1583,Roberta (Earth-616),Public Identity,Blond Hair
1584,Alison Double (Earth-616),No Dual Identity,Blond Hair
1585,Elton Healey (Earth-616),Secret Identity,Black Hair
1586,Francis Xavier Delgado (Earth-616),Public Identity,
1587,Mark Hallett (Earth-616),Secret Identity,Bald
1588,Mister Johnston (Earth-616),,
1589,Ogun (Ninja) (Earth-616),Secret Identity,Black Hair
1590,Autumn Rolfson (Earth-616),Secret Identity,Brown Hair
1591,Cormick Grimshaw (Earth-616),Public Identity,Blond Hair
1592,Rebecca Nales (Earth-616),Public Identity,Black Hair
1593,Skullbuster (Earth-616),Secret Identity,No Hair
1594,Jane Thorne (Earth-616),Secret Identity,
1595,Lenny Ballinger (Earth-616),Public Identity,Brown Hair
1596,Tai (Well of All Things) (Earth-616),,Black Hair
1597,Tamara Kurtz (Earth-616),Secret Identity,Auburn Hair
1598,Carol Hines (Earth-616),Secret Identity,Auburn Hair
1599,Amelia Barnhardt (Earth-616),Secret Identity,Black Hair
1600,Clara Menninger (Earth-616),,Blond Hair
1601,Louise Hastings (Earth-616),Secret Identity,Black Hair
1602,Marilla (Earth-616),Secret Identity,Red Hair
1603,Candra (Earth-616),Secret Identity,Blond Hair
1604,Skreet (Earth-616),,Black Hair
1605,James Hudson (Clone) (Earth-616),Secret Identity,Black Hair
1606,White Tiger (Evolved Tiger) (Earth-616),Secret Identity,White Hair
1607,Fever Pitch (Earth-616),Secret Identity,
1608,Donald Callahan (Earth-616),Secret Identity,No Hair
1609,Centrally Located Organic Computer (Earth-616),,
1610,George W. Bush (Earth-616),No Dual Identity,Grey Hair
1611,Sophie Cuckoo (Earth-616),Secret Identity,Blond Hair
1612,Shola Inkose (Earth-616),Secret Identity,Bald
1613,Robert Minoru (Earth-616),Secret Identity,Brown Hair
1614,Tina Minoru (Earth-616),Secret Identity,
1615,Venom (Symbiote) (Mania) (Earh-616),,No Hair
1616,Maximus Jensen (Earth-616),Secret Identity,Grey Hair
1617,Lambda-Zero (Earth-616),Secret Identity,No Hair
1618,Bride of Nine Spiders (Earth-616),Secret Identity,Black Hair
1619,Delphyne Gorgon (Earth-616),No Dual Identity,Green Hair
1620,Timothy Cababa (Earth-616),Secret Identity,Black Hair
1621,Aiden (Earth-616),Secret Identity,Red Hair
1622,Cullen Bloodstone (Earth-616),No Dual Identity,Blond Hair
1623,Rebecca Ryker (Earth-616),Public Identity,Black Hair
1624,Lightning (Tex Morgan) (Earth-616),Public Identity,Yellow Hair
1625,Cory Rand (Earth-616),Public Identity,Brown Hair
1626,Giganto (Atlantean beast) (Earth-616),,
1627,Wong-Chu (Earth-616),No Dual Identity,Bald
1628,Carlo Zota (Earth-616),No Dual Identity,Blond Hair
1629,Lucifer (Lightbearer) (Earth-616),Public Identity,Variable Hair
1630,Zarek (Earth-616),Public Identity,Bald
1631,Jacques Larocque (Earth-616),Public Identity,
1632,Sam Yates (Earth-616),Public Identity,
1633,Typhon (Earth-616),Public Identity,Black Hair
1634,George Smith (Earth-616),Public Identity,Black Hair
1635,Lupo (Earth-616),Secret Identity,No Hair
1636,Taku (Earth-616),,
1637,Hebe (Earth-616),Secret Identity,Red Hair
1638,Tongah (Earth-616),No Dual Identity,Black Hair
1639,Zala Dane (Earth-616),Secret Identity,Black Hair
1640,Tu (Earth-616),Public Identity,White Hair
1641,Deacon Frost (Earth-616),Public Identity,White Hair
1642,Kamo Tharnn (Earth-616),No Dual Identity,Grey Hair
1643,Matriarch (UCT) (Earth-616),Secret Identity,Brown Hair
1644,Desmond Charne (Earth-616),Public Identity,
1645,Model X3Z (Earth-616),Secret Identity,White Hair
1646,Buford Hollis (Earth-616),Secret Identity,Black Hair
1647,Tamara Hashioka (Earth-616),No Dual Identity,Black Hair
1648,Willard Scott (Earth-616),Public Identity,
1649,Sigyn (Earth-616),Secret Identity,Blond Hair
1650,Alexei Vazhin (Earth-616),,Black Hair
1651,Magda Eisenhardt (Earth-616),No Dual Identity,Brown Hair
1652,Mike Farrell (Earth-616),Secret Identity,Brown Hair
1653,Calypso Ezili (Earth-616),Public Identity,Black Hair
1654,Lois London (Earth-616),Public Identity,Brown Hair
1655,Lucinda Guthrie (Earth-616),Secret Identity,Grey Hair
1656,Mister Varley (Earth-616),,Blond Hair
1657,Wallace Jackson (Earth-616),Public Identity,Red Hair
1658,Kevin (son of Ruby) (Earth-616),Public Identity,Black Hair
1659,Kathleen Dare (Earth-616),,Red Hair
1660,Pretty Boy (Earth-616),Secret Identity,Black Hair
1661,Alysande Stuart (Earth-616),Public Identity,Black Hair
1662,Josef Petkus (Earth-616),Secret Identity,
1663,Perun (Earth-616),Secret Identity,Brown Hair
1664,Roughouse (Earth-616),Secret Identity,Brown Hair
1665,Desmond Marrs (Earth-616),Public Identity,Red Hair
1666,Lotus Newmark (Earth-616),,Black Hair
1667,Walter Rosen (Earth-616),Public Identity,Brown Hair
1668,Adam Crown (Earth-616),Secret Identity,Brown Hair
1669,Epoch (Earth-616),,Brown Hair
1670,Donald Clendenon (Earth-616),Secret Identity,Black Hair
1671,Feron (Excalibur) (Earth-616),,Black Hair
1672,Samson Buchanan (Earth-616),,Blond Hair
1673,Curtis Elkins (Earth-616),Secret Identity,Black Hair
1674,Donna Diego (Earth-616),Secret Identity,Red Hair
1675,Firearm (Earth-616),Secret Identity,
1676,Jean-Luc LeBeau (Earth-616),Secret Identity,Brown Hair
1677,Kenneth Parmenter (Earth-616),Secret Identity,
1678,Samuel Caulkin (Earth-616),Secret Identity,Brown Hair
1679,Dominic Destine (Earth-616),Secret Identity,Red Hair
1680,Jasmine Destine (Earth-616),Secret Identity,Black Hair
1681,Paradox (Strange) (Earth-616),Secret Identity,No Hair
1682,Gregory Herd (Earth-616),Secret Identity,Black Hair
1683,Buzz (Earth-616),Public Identity,Brown Hair
1684,"Nicholas Fury (LMD, Heroes Reborn) (Earth-616)",Secret Identity,Brown Hair
1685,Rosalind Sharpe (Earth-616),Public Identity,Black Hair
1686,T-Ray (Earth-616),Secret Identity,Red Hair
1687,Tonaja (Earth-616),Secret Identity,Brown Hair
1688,Litterbug (Earth-616),Secret Identity,No Hair
1689,Gabriel Stacy (Earth-616),Secret Identity,Brown Hair
1690,Aleksander Lukin (Earth-616),,Black Hair
1691,Shingen Harada II (Earth-616),Secret Identity,Black Hair
1692,Hermann Goering (Earth-616),Public Identity,
1693,Tex Morgan (Earth-616),No Dual Identity,Black Hair
1694,Dull Knife (Earth-616),Public Identity,Black Hair
1695,It the Living Colossus (Earth-616),Secret Identity,Bald
1696,Bruce Olafsen (Earth-616),Public Identity,Brown Hair
1697,Bor Burison (Earth-616),,Red Hair
1698,Maha Yogi (Earth-616),Secret Identity,Black Hair
1699,Hildegund (Earth-616),,Brown Hair
1700,Spencer Smythe (Earth-616),No Dual Identity,Grey Hair
1701,Cerberus (Earth-616),,Brown Hair
1702,Fafnir (Nastrond) (Earth-616),Secret Identity,No Hair
1703,Ralph Roberts (Earth-616),Secret Identity,Brown Hair
1704,Sentry 459 (Earth-616),Secret Identity,No Hair
1705,Seth (Atlantean) (Earth-616),Public Identity,Black Hair
1706,Boss Morgan (Earth-616),No Dual Identity,Black Hair
1707,Christine Palmer (Earth-616),,Red Hair
1708,Philip Russell (Earth-616),Public Identity,Grey Hair
1709,Ram II (Earth-616),Secret Identity,
1710,Silas Grant (Earth-616),No Dual Identity,Grey Hair
1711,Roxanne Gilbert (Earth-616),Public Identity,Black Hair
1712,Shou-Lao (Earth-616),,No Hair
1713,Autolycus (Earth-616),No Dual Identity,Black Hair
1714,Veronica Dultry (Earth-616),Secret Identity,Black Hair
1715,Brian DeWolff (Earth-616),Public Identity,Strawberry Blond Hair
1716,Davan Shakari (Earth-616),Secret Identity,Black Hair
1717,Domini (Earth-616),Secret Identity,Red Hair
1718,Woodgod (Earth-616),Secret Identity,Brown Hair
1719,Nezarr (Earth-616),Secret Identity,No Hair
1720,One Above All (Earth-616),Secret Identity,No Hair
1721,Randall Darby (Earth-616),Secret Identity,Grey Hair
1722,Deathwings,,
1723,Genji Odashu (Earth-616),,Black Hair
1724,Ilongo Savage (Earth-616),Public Identity,Black Hair
1725,Richard Carson (Earth-616),,Brown Hair
1726,Angelo Macon (Earth-616),,Blond Hair
1727,Carmen Pryde (Earth-616),Public Identity,Brown Hair
1728,Detective Flint (Earth-616),Secret Identity,Brown Hair
1729,Fireflyte (Earth-616),Public Identity,Magenta Hair
1730,Alain Racine (Earth-616),Secret Identity,Brown Hair
1731,Wolf (Thunderiders) (Earth-616),Secret Identity,Black Hair
1732,Smartship Friday (Earth-616),Public Identity,
1733,Stanley Carter (Earth-616),Secret Identity,Brown Hair
1734,Buchanan Mitty (Earth-616),Secret Identity,Brown Hair
1735,Margaret Murdock (Earth-616),Secret Identity,Brown Hair
1736,Thomas Maximoff (Earth-616),Public Identity,Auburn Hair
1737,William Maximoff (Earth-616),Public Identity,Auburn Hair
1738,Ariel (Coconut Grove) (Earth-616),No Dual Identity,Pink Hair
1739,Priscilla Lyons (Earth-616),Secret Identity,Strawberry Blond Hair
1740,Tath Ki (Skrull) (Earth-616),Secret Identity,No Hair
1741,Imei Chang (Earth-616),Public Identity,Black Hair
1742,Luis Alvarez (Earth-616),Public Identity,Black Hair
1743,Anne Marie Hoag (Earth-616),No Dual Identity,Grey Hair
1744,Archibald Corrigan (Earth-616),No Dual Identity,Black Hair
1745,Dinah Soar (Earth-616),Secret Identity,No Hair
1746,Alex Flores (Earth-616),Secret Identity,Blond Hair
1747,Eisenhower Canty (Earth-616),Secret Identity,Black Hair
1748,Zachary Moonhunter (Earth-616),Public Identity,Black Hair
1749,Adam Neramani (Earth-616),Secret Identity,Blond Hair
1750,Victor Slaughter (Earth-616),Public Identity,White Hair
1751,Connor Trevane (Earth-616),Public Identity,Brown Hair
1752,Jaine Cutter (Earth-616),No Dual Identity,Black Hair
1753,Walter Destine (Earth-616),Secret Identity,Brown Hair
1754,Rina Patel (Earth-616),Public Identity,Black Hair
1755,Rebecca Barnes (Heroes Reborn) (Earth-616),Secret Identity,Red Hair
1756,Montgomery Burns (Earth-616),No Dual Identity,Bald
1757,Demitrius Collins (Earth-616),Public Identity,Black Hair
1758,Cassandra Nova Xavier (Earth-616),Secret Identity,No Hair
1759,Thialfi (Earth-616),Public Identity,Brown Hair
1760,Frank Dean (Earth-616),Secret Identity,Brown Hair
1761,Shortpack (Earth-616),Secret Identity,Brown Hair
1762,Kyle Jinadu (Earth-616),Public Identity,Black Hair
1763,Manuel Enduque (Earth-616),Public Identity,Black Hair
1764,Nightmask (Earth-616),Public Identity,Bald
1765,Jack Castle (Earth-616),Secret Identity,Blond Hair
1766,Philo Zogolowski (Earth-616),Public Identity,Brown Hair
1767,Elton Morrow (Earth-616),Secret Identity,No Hair
1768,Cloud (Horse) (Earth-616),Public Identity,White Hair
1769,Hoot Temple (Earth-616),Public Identity,Grey Hair
1770,Thunder (Outlaw Kid) (Earth-616),Public Identity,
1771,Gregor Shapanka (Earth-616),Secret Identity,Brown Hair
1772,Roscoe Sweeney (Earth-616),,
1773,Urd (Earth-616),No Dual Identity,Brown Hair
1774,Jurgen Hauptmann (Earth-616),,
1775,Karl Kaufman (Earth-616),Secret Identity,Brown Hair
1776,Madeline Bass (Earth-616),Public Identity,Brown Hair
1777,Edward March (Earth-616),Public Identity,Brown Hair
1778,Reed Richards (Counter-Earth) (Earth-616),,Brown Hair
1779,Georges Baptiste (Earth-616),Secret Identity,
1780,Kronos (Eternal) (Earth-616),Secret Identity,
1781,Nebulon (Earth-616),Secret Identity,No Hair
1782,Terrance Sorenson (Earth-616),Public Identity,Bald
1783,Andr\u00e9 Gerard (Earth-616),Secret Identity,
1784,Lunatik (Tyrk Fragment) (Earth-616),,White Hair
1785,Garm (Earth-616),,Brown Hair
1786,Tyrak (Earth-616),No Dual Identity,Black Hair
1787,Emma Collins (Earth-616),No Dual Identity,Grey Hair
1788,Eson (Earth-616),Secret Identity,No Hair
1789,Oneg (Earth-616),,
1790,Jerry Hunt (Earth-616),Secret Identity,Black Hair
1791,Sleipnir (Earth-616),,Black Hair
1792,Adora (Earth-616),Secret Identity,
1793,Michael Bowen (Earth-616),Public Identity,Bald
1794,Wade Cole (Earth-616),,
1795,Joseph Cartelli (Earth-616),Secret Identity,Brown Hair
1796,Amy Powell (Earth-616),No Dual Identity,Blond Hair
1797,Brian Banner (Earth-616),Public Identity,Brown Hair
1798,Centurious (Earth-616),Secret Identity,White Hair
1799,"Winthrop Roan, Jr. (Earth-616)",Secret Identity,Red Hair
1800,Sassafras (Earth-616),Public Identity,Brown Hair
1801,Wendy Conrad (Earth-616),,Blond Hair
1802,Jesse Black Crow (Earth-616),Secret Identity,Black Hair
1803,Alfredo Morelli (Earth-616),Secret Identity,Blond Hair
1804,Amanda Batavides (Earth-616),,Blond Hair
1805,Nicholas Powell (Earth-616),Secret Identity,Black Hair
1806,Simon Walterson (Earth-616),Secret Identity,No Hair
1807,Beatrix Keener (Earth-616),Secret Identity,White Hair
1808,Face (Inferno Baby) (Earth-616),Secret Identity,Brown Hair
1809,Olinka Barankova (Earth-616),Secret Identity,Brown Hair
1810,Orphan-Maker (Peter) (Earth-616),Secret Identity,
1811,Chloe Tran (Earth-616),,Blond Hair
1812,John Porter (Earth-616),Public Identity,Black Hair
1813,Robin Chapel (Earth-616),Public Identity,Blond Hair
1814,Geatar (Earth-616),,No Hair
1815,Katherine McClellan (Earth-616),Public Identity,Blond Hair
1816,Keith Kraft (Earth-616),Secret Identity,Black Hair
1817,Samuel Majowski (Earth-616),Public Identity,Blond Hair
1818,Delphi (Pantheon) (Earth-616),Secret Identity,Blond Hair
1819,Devos (Earth-616),Secret Identity,Blond Hair
1820,Elsie Dee (Earth-616),No Dual Identity,Blond Hair
1821,Andrew Graves (Earth-616),Secret Identity,Brown Hair
1822,Anne Weying (Earth-616),No Dual Identity,
1823,Brian Hibbs (Earth-616),Secret Identity,Blond Hair
1824,Pandora Destine (Earth-616),Secret Identity,Red Hair
1825,Rory Destine (Earth-616),Secret Identity,Blond Hair
1826,Samantha Destine (Earth-616),Secret Identity,Red Hair
1827,Vladimir Kravinoff (Earth-616),Secret Identity,Black Hair
1828,Sean McKeever (Earth-616),Public Identity,Blond Hair
1829,Bernie Lachenay (Earth-616),Secret Identity,Bald
1830,Nils Styger (Earth-616),Secret Identity,Black Hair
1831,Cassie St. Commons (Earth-616),Secret Identity,Black Hair
1832,Jack Truman (Earth-616),Secret Identity,Black Hair
1833,Stewart Ward (Earth-616),,Brown Hair
1834,Dog Logan (Earth-616),No Dual Identity,Brown Hair
1835,Heather Cameron (Earth-616),Public Identity,Blond Hair
1836,Temugin (Earth-616),,Black Hair
1837,Alexander Lexington (Earth-616),,Brown Hair
1838,Miguel Reyes (Earth-616),Public Identity,Brown Hair
1839,Ravenous (Earth-616),,No Hair
1840,Henry Hellrung (Earth-616),Public Identity,Brown Hair
1841,Alejandra Blaze (Earth-616),Secret Identity,Black Hair
1842,Lord Deathstrike (Earth-616),Secret Identity,
1843,Rachel Cole (Earth-616),No Dual Identity,Red Hair
1844,Jet Zola (Earth-616),Secret Identity,Black Hair
1845,Aldrif Odinsdottir (Earth-616),Secret Identity,Red Hair
1846,Dennis Burton (Earth-616),Secret Identity,Brown Hair
1847,Richard Jones (Phantom Reporter) (Earth-616),Secret Identity,Red Hair
1848,Roddy Colt (Earth-616),Secret Identity,Brown Hair
1849,Benjamin Franklin (Earth-616),No Dual Identity,
1850,Lobo (Native American) (Earth-616),No Dual Identity,Black Hair
1851,Battle Brady (Earth-616),No Dual Identity,Blond Hair
1852,Socko Swenski (Earth-616),Public Identity,Red Hair
1853,Belle Taylor (Earth-616),No Dual Identity,Black Hair
1854,Jane Hastings (Earth-616),Secret Identity,Black Hair
1855,Hamir the Hermit (Earth-616),,
1856,Kathryn Worthington (Earth-616),Public Identity,Blond Hair
1857,"Nick Lewis, Sr. (Earth-616)",Secret Identity,Black Hair
1858,Warren Worthington Jr. (Earth-616),Public Identity,Black Hair
1859,Brian Dunlap (Earth-616),Secret Identity,Grey Hair
1860,Vincent Patilio (Earth-616),,Brown Hair
1861,Caesar Cicero (Earth-616),,Brown Hair
1862,Victor Frankenstein (Earth-616),Public Identity,Brown Hair
1863,Darren Bentley (Earth-616),Secret Identity,
1864,Jenna (Earth-616),No Dual Identity,Blond Hair
1865,Kulan Gath (Earth-616),No Dual Identity,
1866,Patricia Starr (Earth-616),Public Identity,Blond Hair
1867,Thulsa Doom (Earth-616),Secret Identity,White Hair
1868,Linda Littletrees (Earth-616),Secret Identity,Black Hair
1869,Agamotto (Earth-616),Secret Identity,Variable Hair
1870,Harold Meachum (Earth-616),,Grey Hair
1871,Abner Little (Earth-616),Public Identity,Black Hair
1872,Astra (Imperial Guard) (Earth-616),Secret Identity,Red Hair
1873,Byron Calley (Earth-616),Secret Identity,White Hair
1874,Hobgoblin (Imperial Guard) (Earth-616),Secret Identity,No Hair
1875,Lance Hunter (Earth-616),No Dual Identity,Grey Hair
1876,Maria Carbonell (Earth-616),Public Identity,Grey Hair
1877,Rick Rojatt (Earth-616),Secret Identity,
1878,Scintilla (Earth-616),Secret Identity,Red Hair
1879,Zanda (Earth-616),Public Identity,Black Hair
1880,Denise Baranger (Earth-616),Secret Identity,Black Hair
1881,Josef Saint (Earth-616),Secret Identity,Grey Hair
1882,Amahl Farouk (Earth-616),Secret Identity,Bald
1883,Ray Landers (Earth-616),,Black Hair
1884,Flying Tiger (Earth-616),Secret Identity,
1885,Victoria Star (Earth-616),Public Identity,Blond Hair
1886,James McDonald (Earth-616),Public Identity,Brown Hair
1887,Luke Merriweather (Earth-616),Secret Identity,Blond Hair
1888,Eitri (Earth-616),Public Identity,Brown Hair
1889,Francis Tork (Earth-616),,
1890,Tundra (Earth-616),Public Identity,
1891,Ferdinand Lopez (Earth-616),Secret Identity,Black Hair
1892,Abraham Kieros (Earth-616),Secret Identity,Brown Hair
1893,Bartholomew Jones (Earth-616),No Dual Identity,Brown Hair
1894,Craig Saunders Jr. (Earth-616),Public Identity,White Hair
1895,Mick (son of Ruby) (Earth-616),Public Identity,Black Hair
1896,Stephen Beckley (Earth-616),Public Identity,Brown Hair
1897,Dreamqueen (Earth-616),Secret Identity,Green Hair
1898,Fantasia (Earth-616),Secret Identity,No Hair
1899,Garthan Saal (Earth-616),,Black Hair
1900,Mephista (Earth-616),Secret Identity,Black Hair
1901,Victor Strange (Earth-616),Secret Identity,Brown Hair
1902,Meryet Karim (Earth-616),Secret Identity,Black Hair
1903,Prometheus (Pantheon) (Earth-616),Secret Identity,Black Hair
1904,Albert (Earth-616),No Dual Identity,Black Hair
1905,Ginger Beach (Earth-616),Public Identity,Auburn Hair
1906,Infinity (Entity) (Earth-616),Secret Identity,
1907,Nathan Taylor (Earth-616),Secret Identity,Blond Hair
1908,Edward Dyson (Earth-616),Secret Identity,Brown Hair
1909,Leona McBride (Earth-616),Secret Identity,Black Hair
1910,Michael Jeffries (Earth-616),Public Identity,Brown Hair
1911,Wolf (Quentin Carnival) (Earth-616),,Brown Hair
1912,Adam Destine (Earth-616),Secret Identity,Blond Hair
1913,George Baker (Earth-616),Secret Identity,Bald
1914,Izo (Earth-616),,White Hair
1915,Thor Odinson (Heroes Reborn) (Earth-616),Public Identity,
1916,Chesbro (Earth-616),,Bald
1917,Edward McDonough (Earth-616),Secret Identity,Brown Hair
1918,Nahrees (Earth-616),Public Identity,Black Hair
1919,Nakia (Earth-616),Secret Identity,Black Hair
1920,Katherine Farrell (Earth-616),Public Identity,Red Hair
1921,Isaiah Bradley (Earth-616),Secret Identity,Bald
1922,Lorelei Travis (Earth-616),Public Identity,Pink Hair
1923,Praxagora (Earth-616),Public Identity,No Hair
1924,Profile (Earth-616),Secret Identity,Brown Hair
1925,Hui Lin (Earth-616),Secret Identity,Black Hair
